customer_id,full_name,email,phone,city,segment,created_at,is_active,deleted_at
1,Luis Fernandez,luisfernandez.xf49@cliente.net,+595992795509,Asunción,retail,2023-08-13T18:40:42,0,2024-01-05T18:40:42
2,Fernando Diaz,fernandodiaz.s1oe@example.com,+595930861340,Capiatá,wholesale,2026-01-29T14:54:24,1,
3,Andres Ortiz,andresortiz.erg1@cliente.net,+595932679156,Ciudad del Este,retail,2023-02-17T01:01:27,1,
4,Valeria Martinez,valeriamartinez.2wkj@example.com,+595964771083,Lambaré,retail,2023-12-03T14:15:58,0,2024-02-26T14:15:58
5,Valeria Martinez,valeriamartinez.2qof@example.com,+595929572900,San Lorenzo,retail,2024-10-05T07:49:35,1,
6,Mateo Diaz,mateodiaz.7dsh@empresa.com,+595966733671,Ñemby,retail,2025-11-01T11:05:26,1,
7,Luis Ramirez,luisramirez.h6cx@cliente.net,+595965915619,San Lorenzo,retail,2025-04-14T06:01:44,1,
8,Andres Rojas,andresrojas.xipo@correo.py,+595995674327,Asunción,retail,2025-10-17T23:57:55,1,
9,Sofia Ruiz,sofiaruiz.ydvi@example.com,+595919201065,Capiatá,wholesale,2024-05-17T11:28:24,1,
10,Luis Alvarez,luisalvarez.pwol@empresa.com,+595948183554,San Lorenzo,retail,2025-08-29T08:10:44,1,
11,Camila Ortiz,camilaortiz.cvcf@mail.com,+595987100524,Fernando de la Mora,wholesale,2023-12-27T08:33:30,1,
12,Agustina Gonzalez,agustinagonzalez.lx9a@mail.com,+595936635030,Lambaré,online_only,2023-06-30T02:59:28,1,
13,Paula Mendoza,paulamendoza.vl2q@empresa.com,+595929609778,Ñemby,retail,2025-10-13T18:56:15,1,
14,Fernando Diaz,fernandodiaz.tbk2@empresa.com,+595932272671,San Lorenzo,online_only,2025-01-19T11:24:53,1,
15,Paula Perez,paulaperez.tocn@empresa.com,+595987894011,Luque,wholesale,2023-03-17T11:30:33,1,
16,Fernando Castillo,fernandocastillo.bovo@mail.com,+595936699760,Encarnación,vip,2024-03-07T13:26:05,1,
17,Camila Ramirez,camilaramirez.j167@mail.com,+595963820336,Encarnación,retail,2023-08-02T09:12:36,1,
18,Maria Romero,mariaromero.fuqv@empresa.com,+595960168919,Capiatá,vip,2024-06-21T02:49:19,1,
19,Rocio Diaz,rociodiaz.5ale@empresa.com,+595915933601,Ñemby,retail,2025-01-30T11:23:29,1,
